subject,session,meditation,band,pre_rel,post_rel,delta_pp
wn_bt,4_wn_fam,FAM,beta,33.714394613640614,23.172232909055342,-10.542161704585272
wn_bt,4_wn_fam,FAM,gamma,5.11913801278591,3.3753568711021327,-1.743781141683777
wn_bt,5_wn_lkm,LKM,delta,34.797574881719704,38.050987452040744,3.2534125703210393
wn_bt,5_wn_lkm,LKM,theta,7.225411303787592,5.946900964778388,-1.2785103390092036
wn_bt,5_wn_lkm,LKM,alpha,6.632128340278238,6.047920950078208,-0.5842073902000307
wn_bt,5_wn_lkm,LKM,beta,45.081495302097544,43.746318340970326,-1.3351769611272175
wn_bt,5_wn_lkm,LKM,gamma,4.754429308615773,4.953153255652531,0.19872394703675766
yl,1_yl_om,OM,delta,25.72469175907394,36.14827697280358,10.423585213729638
yl,1_yl_om,OM,theta,9.280459481863517,7.171754891056047,-2.10870459080747
yl,1_yl_om,OM,alpha,7.426167659340127,7.109759626817565,-0.31640803252256156
yl,1_yl_om,OM,beta,38.802592695484975,42.89048876716606,4.087896071681087
yl,1_yl_om,OM,gamma,20.28129743353469,5.152404064278098,-15.128893369256591
yl,2_yl_lkm,LKM,delta,20.09196251856704,50.0776456073761,29.985683088809058
yl,2_yl_lkm,LKM,theta,8.268473673988389,9.215896168564397,0.9474224945760081
yl,2_yl_lkm,LKM,alpha,8.73127167461337,7.421104640934994,-1.3101670336783755
yl,2_yl_lkm,LKM,beta,52.482594535910316,26.509426579152784,-25.973167956757532
yl,2_yl_lkm,LKM,gamma,8.389717623632995,5.177816239820085,-3.2119013838129105
yl,3_yl_fam,FAM,delta,13.192392918377939,19.51007470421503,6.31768178583709
yl,3_yl_fam,FAM,theta,17.41710432652136,9.931513386075302,-7.485590940446059
yl,3_yl_fam,FAM,alpha,9.297125990567386,10.789079686556441,1.4919536959890554
yl,3_yl_fam,FAM,beta,40.937024976928186,48.87845929239607,7.9414343154678875
yl,3_yl_fam,FAM,gamma,18.49421784675747,8.642258522103933,-9.851959324653535
yl,4_yl_mm,MM,delta,28.275419440033822,29.625391253924533,1.3499718138907113
yl,4_yl_mm,MM,theta,8.55982463404392,10.049981283304579,1.4901566492606584
yl,4_yl_mm,MM,alpha,8.27843371387952,9.085167596355657,0.8067338824761361
yl,4_yl_mm,MM,beta,36.7182713996886,41.175255536909056,4.456984137220459
yl,4_yl_mm,MM,gamma,19.455815184890177,7.725364863019268,-11.730450321870908
yl,5_yl_bsm,BSM,delta,30.861381310815894,20.059882837314476,-10.801498473501418
yl,5_yl_bsm,BSM,theta,12.78865951717151,9.4151011694523,-3.373558347719211
yl,5_yl_bsm,BSM,alpha,10.479013904016073,11.060702844140032,0.5816889401239589
yl,5_yl_bsm,BSM,beta,34.96749528369432,46.150365835943454,11.182870552249135
yl,5_yl_bsm,BSM,gamma,7.540373426551501,12.472686587226606,4.932313160675106
zw,1_zw_fam,FAM,delta,37.76461373049847,50.26890539174874,12.50429166125027
zw,1_zw_fam,FAM,theta,16.03447389970908,18.021410360924435,1.986936461215354
zw,1_zw_fam,FAM,alpha,22.492955970090883,16.59986708309554,-5.8930888869953435
zw,1_zw_fam,FAM,beta,15.050283421344094,8.864902250572193,-6.185381170771901
zw,1_zw_fam,FAM,gamma,3.3977041506126353,1.3769166436116964,-2.020787507000939
zw,2_zw_lkm,LKM,delta,24.901879576565875,24.230112535420346,-0.6717670411455288
zw,2_zw_lkm,LKM,theta,15.621964520133643,15.392062443825543,-0.22990207630810033
zw,2_zw_lkm,LKM,alpha,30.798268307295068,35.56567635493623,4.767408047641162
zw,2_zw_lkm,LKM,beta,18.62000973084146,15.208514709145401,-3.4114950216960587
zw,2_zw_lkm,LKM,gamma,4.199329896131647,2.9254409398166366,-1.2738889563150102
zw,3_zw_om,OM,delta,36.35829940781171,18.253834269672538,-18.10446513813917
zw,3_zw_om,OM,theta,14.620161871153746,12.920915325409464,-1.6992465457442822
zw,3_zw_om,OM,alpha,28.059529157134975,33.2447305765363,5.185201419401324
zw,3_zw_om,OM,beta,13.107528303408847,23.68757615889202,10.580047855483175
zw,3_zw_om,OM,gamma,2.8477237919480562,6.2162797278497495,3.368555935901693
zw,4_zw_mm,MM,delta,25.786134229620338,36.09742680232716,10.311292572706826
zw,4_zw_mm,MM,theta,14.92117896893005,16.389314787952557,1.468135819022507
zw,4_zw_mm,MM,alpha,29.430534184749682,20.72419120394528,-8.7063429808044
zw,4_zw_mm,MM,beta,19.44482130087006,17.67996625426226,-1.7648550466077992
zw,4_zw_mm,MM,gamma,4.583651021058034,4.317486806461012,-0.2661642145970218
zw,5_zw_bsm,BSM,delta,24.43101362778529,63.09888962437512,38.66787599658983
zw,5_zw_bsm,BSM,theta,15.702776299996117,12.771035442738844,-2.9317408572572727
zw,5_zw_bsm,BSM,alpha,29.04868990306703,13.614052944825769,-15.43463695824126
zw,5_zw_bsm,BSM,beta,20.617869933196175,6.472067052976477,-14.145802880219698
zw,5_zw_bsm,BSM,gamma,4.322846501156263,1.0708407352083742,-3.252005765947889
